Departement;Latitude;Longitude;BBY presi;IdrissaSeck presi;IssaSall presi;MadickéNiang presi;PASTEF presi
ZIGUINCHOR;"12,51578778";"-16,22239121";32846;2419;556;510;41291
VELINGARA;"12,98605399";"-13,87456189";47551;8106;1361;966;10423
TIVAOUANE;"15,09673597";"-16,65307945";79757;55966;14098;2054;9836
THIES;"14,74732325";"-16,86877795";100422;120054;12102;2312;19737
TAMBACOUNDA;"13,50307942";"-13,5138183";46096;5401;1184;1074;11258
SEDHIOU;"12,80458659";"-15,61628662";23414;3808;407;680;14833
SARAYA;"12,97235252";"-11,82943665";7122;1383;275;226;2082
SALEMATA;"12,60358341";"-12,80217768";4525;1062;75;309;589
SAINT LOUIS;"15,96379361";"-16,36776901";62788;17404;7471;3160;18632
RUFISQUE;"14,75783758";"-17,20078043";100632;34892;16164;2273;30186
RANEROU FERLO;"15,03340878";"-14,15188079";14827;528;122;137;482
PODOR;"16,14930855";"-14,56996161";127639;2806;908;510;4802
PIKINE;"14,76791038";"-17,33970084";183630;90388;22866;6601;74255
OUSSOUYE;"12,47419121";"-16,61543995";8707;406;231;101;9209
NIORO DU RIP;"13,7310865";"-15,83477353";72463;7180;1506;1264;9825
MEDINA YORO FOULAH;"13,21354463";"-14,86607718";19992;2888;311;396;4133
MBOUR;"14,45898191";"-16,83044972";132202;35437;11653;2042;29896
MBACKE;"14,77652336";"-15,83997818";67747;129724;2334;9963;12686
MATAM;"15,73656724";"-13,59762305";92454;2239;582;284;3698
MALEM HODAR;"14,38754479";"-15,2833596";18926;2582;1398;345;1285
LOUGA;"15,74474519";"-15,9972572";73514;19788;15617;2344;9612
LINGUERE;"15,33792654";"-15,19046419";64291;5857;1603;1859;5666
KOUNGHEUL;"14,2044619";"-14,85676607";33728;5020;885;442;2848
KOUMPENTOUM;"14,17248193";"-14,31795396";20220;4613;517;580;3652
KOLDA;"12,85459284";"-14,65416836";36927;6245;789;1042;13839
KEUR MASSAR;;;;;;;
KEDOUGOU;"12,76593983";"-12,43500363";16153;2494;324;377;3269
KEBEMER;"15,30411387";"-16,24890034";42166;26739;4374;2076;5125
KAOLACK;"14,06245593";"-16,06355185";99376;18649;4334;1758;22677
KANEL;"14,97421604";"-13,14362353";65679;1364;309;192;2562
KAFFRINE;"14,10911854";"-15,4423784";38874;6513;3406;731;5294
GUINGUINEO;"14,29428815";"-15,91451001";21733;5786;2645;555;2964
GUEDIAWAYE;"14,77279976";"-17,39670186";65174;35646;6552;1977;24243
GOUDOMP;"12,63281767";"-15,50985568";23343;4434;635;770;17012
GOUDIRY;"13,99327402";"-12,9311783";21641;1964;708;303;3514
GOSSAS;"14,53029522";"-15,85650236";20292;4299;518;435;2036
FOUNDIOUGNE;"13,86009655";"-16,43812212";62373;5103;1109;771;7905
FATICK;"14,32860843";"-16,48329553";80888;5172;4089;673;9349
Europe du Sud;;;11643;11333;2158;407;11520
"Europe de l'Ouest, du Centre et du Nord";;;15394;3191;573;212;13380
DIOURBEL;"14,76890488";"-16,21630688";40501;22026;884;1682;6300
DAKAR;"14,72243181";"-17,46030761";212355;115612;18662;5646;101003
DAGANA;"16,27366411";"-15,85199256";62091;11033;6380;957;11847
BOUNKILING;"13,1329005";"-15,60534745";23385;1105;533;255;12605
BIRKILANE;"14,04641447";"-15,68030056";22854;3309;1053;583;3392
BIGNONA;"12,88521292";"-16,3665789";27398;2169;412;377;51438
BAMBEY;"14,79978782";"-16,48633461";38625;25364;1125;1539;4679
BAKEL;"14,15215135";"-12,25175642";25723;2908;419;471;4888
Asie-Moyen Orient;;;;;;;
Amerique-Oceanie;;;3082;2389;167;80;4846
Afrique du Nord;;;6606;3408;950;203;3460
Afrique du Centre;;;14440;1725;214;118;1894
Afrique de l'Ouest;;;14603;6828;610;306;3451
Afrique Australe;;;1099;612;103;14;224
